Country;NUTS;geo;label;na_item;vintage;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AT;0;AT;Austria;B1G;2014;190177;196610;201882;206344;215211;224777;237683;251926;260533;254763;261892;274897;282052;287273;;;;;;;
AT;2;AT11;Burgenland (AT);B1G;2014;4254;4402;4604;4740;4993;5034;5227;5524;5662;5676;5906;6170;6501;6664;;;;;;;
AT;2;AT12;Niederösterreich;B1G;2014;29938;30501;31094;31934;33825;34763;36941;39692;41229;40039;41028;43110;44240;44971;;;;;;;
AT;2;AT13;Wien;B1G;2014;51382;53401;55270;55637;57216;59569;63070;65521;68050;67436;69033;71507;72708;73763;;;;;;;
AT;2;AT21;Kärnten;B1G;2014;11003;11192;11562;11850;12316;12854;13496;14460;14820;14261;14618;15486;15667;15730;;;;;;;
AT;2;AT22;Steiermark;B1G;2014;24143;25037;25346;26092;27575;28927;30368;32496;33351;32400;33278;35092;36185;37052;;;;;;;
AT;2;AT31;Oberösterreich;B1G;2014;31469;32624;33268;34322;35613;37743;39810;42247;44233;42688;44043;46706;47893;48805;;;;;;;
AT;2;AT32;Salzburg;B1G;2014;13430;13823;14210;14581;15344;15971;17069;18405;18799;18311;19253;20236;20971;21338;;;;;;;
AT;2;AT33;Tirol;B1G;2014;16010;16677;17244;17816;18501;19669;20896;22018;22378;22219;22665;23902;24943;25612;;;;;;;
AT;2;AT34;Vorarlberg;B1G;2014;8488;8881;9214;9308;9761;10181;10735;11492;11934;11649;11983;12607;12860;13259;;;;;;;
AT;2;ATZZ;Extra-regio;B1G;2014;61;71;71;65;66;67;72;71;76;84;84;82;84;79;;;;;;;
AT;0;AT;Austria;B1G;2015;190177;196610;201882;206344;215211;224777;237683;251926;260533;254763;262311;274852;281894;287543;293311;;;;;;
AT;2;AT11;Burgenland (AT);B1G;2015;4254;4402;4604;4740;4993;5034;5227;5524;5662;5676;5918;6177;6482;6665;6803;;;;;;
AT;2;AT12;Niederösterreich;B1G;2015;29938;30501;31094;31934;33825;34763;36941;39692;41229;40039;41120;43170;44177;45017;45587;;;;;;
AT;2;AT13;Wien;B1G;2015;51382;53401;55270;55637;57216;59569;63070;65521;68050;67436;69015;71264;72322;73831;75009;;;;;;
AT;2;AT21;Kärnten;B1G;2015;11003;11192;11562;11850;12316;12854;13496;14460;14820;14261;14660;15514;15654;15785;15977;;;;;;
AT;2;AT22;Steiermark;B1G;2015;24143;25037;25346;26092;27575;28927;30368;32496;33351;32400;33339;35086;36296;36649;37659;;;;;;
AT;2;AT31;Oberösterreich;B1G;2015;31469;32624;33268;34322;35613;37743;39810;42247;44233;42688;44136;46724;47929;49130;50032;;;;;;
AT;2;AT32;Salzburg;B1G;2015;13430;13823;14210;14581;15344;15971;17069;18405;18799;18311;19302;20264;21002;21192;21605;;;;;;
AT;2;AT33;Tirol;B1G;2015;16010;16677;17244;17816;18501;19669;20896;22018;22378;22219;22732;23928;25015;25780;26626;;;;;;
AT;2;AT34;Vorarlberg;B1G;2015;8488;8881;9214;9308;9761;10181;10735;11492;11934;11649;12007;12645;12934;13417;13933;;;;;;
AT;2;ATZZ;Extra-regio;B1G;2015;61;71;71;65;66;67;72;71;76;84;84;82;84;79;80;;;;;;
AT;0;AT;Austria;B1G;2016;190177;196610;201882;206344;215211;224777;237683;251926;260533;254763;262311;274852;281956;287195;294443;302653;;;;;
AT;2;AT11;Burgenland (AT);B1G;2016;4254;4402;4604;4740;4993;5034;5227;5524;5662;5676;5918;6177;6483;6641;6851;7090;;;;;
AT;2;AT12;Niederösterreich;B1G;2016;29938;30501;31094;31934;33825;34763;36941;39692;41229;40039;41120;43170;44178;45004;46181;47556;;;;;
AT;2;AT13;Wien;B1G;2016;51382;53401;55270;55637;57216;59569;63070;65521;68050;67436;69015;71264;72439;73769;75082;77055;;;;;
AT;2;AT21;Kärnten;B1G;2016;11003;11192;11562;11850;12316;12854;13496;14460;14820;14261;14660;15514;15658;15780;16214;16571;;;;;
AT;2;AT22;Steiermark;B1G;2016;24143;25037;25346;26092;27575;28927;30368;32496;33351;32400;33339;35086;36291;36642;37784;38579;;;;;
AT;2;AT31;Oberösterreich;B1G;2016;31469;32624;33268;34322;35613;37743;39810;42247;44233;42688;44136;46724;47911;49139;50471;51768;;;;;
AT;2;AT32;Salzburg;B1G;2016;13430;13823;14210;14581;15344;15971;17069;18405;18799;18311;19302;20264;21017;21084;21456;22210;;;;;
AT;2;AT33;Tirol;B1G;2016;16010;16677;17244;17816;18501;19669;20896;22018;22378;22219;22732;23928;24958;25657;26456;27391;;;;;
AT;2;AT34;Vorarlberg;B1G;2016;8488;8881;9214;9308;9761;10181;10735;11492;11934;11649;12007;12645;12937;13399;13870;14349;;;;;
AT;2;ATZZ;Extra-regio;B1G;2016;61;71;71;65;66;67;72;71;76;84;84;82;84;79;80;85;;;;;
AT;0;AT;Austria;B1G;2017;190625;197077;202353;207248;216098;225888;239076;253605;262415;256671;263633;276404;283548;288624;297147;307293;314693;;;;
AT;2;AT11;Burgenland (AT);B1G;2017;4281;4432;4639;4769;5026;5086;5270;5611;5726;5740;5968;6250;6554;6718;6884;7157;7269;;;;
AT;2;AT12;Niederösterreich;B1G;2017;29926;30490;31081;31926;33818;34841;37010;39812;41402;40277;41239;43236;44316;44972;46388;47936;48956;;;;
AT;2;AT13;Wien;B1G;2017;51456;53480;55301;56013;57540;59891;63396;66054;68510;68001;69611;71967;72950;74063;75621;78086;80264;;;;
AT;2;AT21;Kärnten;B1G;2017;11047;11246;11577;11879;12371;12952;13596;14614;14974;14398;14774;15640;15814;15957;16423;16748;17157;;;;
AT;2;AT22;Steiermark;B1G;2017;24210;25098;25472;26225;27672;28913;30458;32631;33589;32645;33479;35175;36444;36804;38073;38770;39444;;;;
AT;2;AT31;Oberösterreich;B1G;2017;31456;32594;33240;34336;35635;37813;39932;42339;44408;42821;44185;46857;48032;49387;50986;52332;53405;;;;
AT;2;AT32;Salzburg;B1G;2017;13601;14015;14425;14786;15569;16266;17364;18661;19063;18581;19483;20452;21255;21355;21862;22925;23767;;;;
AT;2;AT33;Tirol;B1G;2017;16041;16712;17262;17868;18542;19707;21046;22164;22617;22416;22801;24018;25085;25787;26658;27987;28930;;;;
AT;2;AT34;Vorarlberg;B1G;2017;8512;8914;9260;9353;9830;10323;10907;11623;12022;11682;11978;12693;12977;13470;14142;15233;15383;;;;
AT;2;ATZZ;Extra-regio;B1G;2017;94;95;96;93;95;98;97;97;104;111;115;116;120;111;111;117;117;;;;
AT;0;AT;Austria;B1G;2018;190625;197077;202353;207248;216098;225888;239076;253605;262415;256671;263633;276404;283548;288624;297230;307027;317593;329941;;;
AT;2;AT11;Burgenland (AT);B1G;2018;4281;4432;4639;4769;5026;5086;5270;5611;5726;5740;5968;6250;6554;6718;6903;7165;7430;7818;;;
AT;2;AT12;Niederösterreich;B1G;2018;29926;30490;31081;31926;33818;34841;37010;39812;41402;40277;41239;43236;44316;44972;46438;48026;49318;51154;;;
AT;2;AT13;Wien;B1G;2018;51456;53480;55301;56013;57540;59891;63396;66054;68510;68001;69611;71967;72950;74063;75613;77828;81326;83725;;;
AT;2;AT21;Kärnten;B1G;2018;11047;11246;11577;11879;12371;12952;13596;14614;14974;14398;14774;15640;15814;15957;16434;16697;17090;18048;;;
AT;2;AT22;Steiermark;B1G;2018;24210;25098;25472;26225;27672;28913;30458;32631;33589;32645;33479;35175;36444;36804;38106;38950;40234;42122;;;
AT;2;AT31;Oberösterreich;B1G;2018;31456;32594;33240;34336;35635;37813;39932;42339;44408;42821;44185;46857;48032;49387;50977;52333;54113;56547;;;
AT;2;AT32;Salzburg;B1G;2018;13601;14015;14425;14786;15569;16266;17364;18661;19063;18581;19483;20452;21255;21355;21863;22845;23880;24635;;;
AT;2;AT33;Tirol;B1G;2018;16041;16712;17262;17868;18542;19707;21046;22164;22617;22416;22801;24018;25085;25787;26635;27859;28879;30134;;;
AT;2;AT34;Vorarlberg;B1G;2018;8512;8914;9260;9353;9830;10323;10907;11623;12022;11682;11978;12693;12977;13470;14151;15206;15205;15638;;;
AT;2;ATZZ;Extra-regio;B1G;2018;94;95;96;93;95;98;97;97;104;111;115;116;120;111;111;117;117;120;;;
AT;0;AT;Austria;B1G;2019;190625;197077;202353;207248;216098;225888;239076;253605;262415;256671;263633;276404;283548;288624;297230;307038;318644;330333;344659;;
AT;2;AT11;Burgenland (AT);B1G;2019;4281;4432;4639;4769;5026;5086;5270;5611;5726;5740;5968;6250;6554;6718;6903;7171;7450;7825;8047;;
AT;2;AT12;Niederösterreich;B1G;2019;29926;30490;31081;31926;33818;34841;37010;39812;41402;40277;41239;43236;44316;44972;46438;48057;49666;51890;54526;;
AT;2;AT13;Wien;B1G;2019;51456;53480;55301;56013;57540;59891;63396;66054;68510;68001;69611;71967;72950;74063;75613;77845;81658;82909;86155;;
AT;2;AT21;Kärnten;B1G;2019;11047;11246;11577;11879;12371;12952;13596;14614;14974;14398;14774;15640;15814;15957;16434;16693;17052;17735;18660;;
AT;2;AT22;Steiermark;B1G;2019;24210;25098;25472;26225;27672;28913;30458;32631;33589;32645;33479;35175;36444;36804;38106;38993;40565;42460;44324;;
AT;2;AT31;Oberösterreich;B1G;2019;31456;32594;33240;34336;35635;37813;39932;42339;44408;42821;44185;46857;48032;49387;50977;52308;54117;56415;58841;;
AT;2;AT32;Salzburg;B1G;2019;13601;14015;14425;14786;15569;16266;17364;18661;19063;18581;19483;20452;21255;21355;21863;22835;23928;24810;25953;;
AT;2;AT33;Tirol;B1G;2019;16041;16712;17262;17868;18542;19707;21046;22164;22617;22416;22801;24018;25085;25787;26635;27820;28873;29944;30983;;
AT;2;AT34;Vorarlberg;B1G;2019;8512;8914;9260;9353;9830;10323;10907;11623;12022;11682;11978;12693;12977;13470;14151;15198;15219;16224;17047;;
AT;2;ATZZ;Extra-regio;B1G;2019;94;95;96;93;95;98;97;97;104;111;115;116;120;111;111;117;117;119;123;;
