unit	geo	time	obs_value	obs_decimals	obs_status
PPS_EU27_2020_HAB	AL01	2018	7400		p
PPS_HAB_EU27_2020	AL01	2008	20		
PPS_HAB_EU27_2020	AL01	2009	22		
PPS_HAB_EU27_2020	AL01	2010	24		
PPS_HAB_EU27_2020	AL01	2011	24		b
PPS_HAB_EU27_2020	AL01	2012	24		
PPS_HAB_EU27_2020	AL01	2013	24		
PPS_HAB_EU27_2020	AL01	2014	24		
PPS_HAB_EU27_2020	AL01	2015	25		
PPS_HAB_EU27_2020	AL01	2016	25		
PPS_HAB_EU27_2020	AL01	2017	24		
PPS_HAB_EU27_2020	AL01	2018	25		p
MIO_EUR	AL02	2008	4207.03	2	
MIO_EUR	AL02	2009	4153.76	2	
MIO_EUR	AL02	2010	4211.08	2	
MIO_EUR	AL02	2011	4195.2	1	b
MIO_EUR	AL02	2012	4294.6	1	
MIO_EUR	AL02	2013	4319.08	2	
MIO_EUR	AL02	2014	4535.08	2	
MIO_EUR	AL02	2015	4837.09	2	
MIO_EUR	AL02	2016	5050.74	2	
MIO_EUR	AL02	2017	5640.05	2	
MIO_EUR	AL02	2018	6324.67	2	p
MIO_NAC	AL02	2008	516622.68	2	
MIO_NAC	AL02	2009	548546.01	2	
MIO_NAC	AL02	2010	580244.73	2	
MIO_NAC	AL02	2011	588712.75	2	b
MIO_NAC	AL02	2012	597120.84	2	
MIO_NAC	AL02	2013	605794.06	2	
MIO_NAC	AL02	2014	634775.6	1	
MIO_NAC	AL02	2015	675935.44	2	
MIO_NAC	AL02	2016	693769.67	2	
MIO_NAC	AL02	2017	756613.3	1	
MIO_NAC	AL02	2018	806965.26	2	p
EUR_HAB_EU27_2020	AL02	2008	16		
EUR_HAB_EU27_2020	AL02	2009	16		
EUR_HAB_EU27_2020	AL02	2010	16		
EUR_HAB_EU27_2020	AL02	2011	15		b
EUR_HAB_EU27_2020	AL02	2012	15		
EUR_HAB_EU27_2020	AL02	2013	15		
EUR_HAB_EU27_2020	AL02	2014	15		
EUR_HAB_EU27_2020	AL02	2015	16		
EUR_HAB_EU27_2020	AL02	2016	16		
EUR_HAB_EU27_2020	AL02	2017	17		
EUR_HAB_EU27_2020	AL02	2018	18		p
EUR_HAB	AL02	2008	4000		
EUR_HAB	AL02	2009	4000		
EUR_HAB	AL02	2010	4000		
EUR_HAB	AL02	2011	3900		b
EUR_HAB	AL02	2012	3900		
EUR_HAB	AL02	2013	3900		
EUR_HAB	AL02	2014	4100		
EUR_HAB	AL02	2015	4300		
EUR_HAB	AL02	2016	4400		
EUR_HAB	AL02	2017	4900		
EUR_HAB	AL02	2018	5400		p
MIO_PPS_EU27_2020	AL02	2008	8995.4	1	
MIO_PPS_EU27_2020	AL02	2009	9341.1	1	
