unit	geo	time	obs_value	obs_decimals	obs_status
THS	TR633	2015	509.84	2	
THS	TR633	2016	517.52	2	
THS	TR633	2017	524.95	2	
THS	TR633	2018	531.07	2	
THS	TR633	2019	536.58	2	
THS	TR632	2004	969.93	2	
THS	TR632	2005	979.42	2	
THS	TR632	2006	989.19	2	
THS	TR632	2007	999.27	2	
THS	TR632	2008	1016.86	2	
THS	TR632	2009	1033.39	2	
THS	TR632	2010	1041.15	2	
THS	TR632	2011	1049.52	2	
THS	TR632	2012	1058.69	2	
THS	TR632	2013	1069.45	2	
THS	TR632	2014	1082.37	2	
THS	TR632	2015	1092.82	2	
THS	TR632	2016	1104.62	2	
THS	TR632	2017	1120.13	2	
THS	TR632	2018	1136.23	2	
THS	TR632	2019	1149.47	2	
THS	TR631	2004	1332.39	2	
THS	TR631	2005	1347.46	2	
THS	TR631	2006	1362.98	2	
THS	TR631	2007	1378.53	2	
THS	TR631	2008	1399.76	2	
THS	TR631	2009	1430.85	2	
THS	TR631	2010	1464.49	2	
THS	TR631	2011	1477.4	1	
THS	TR631	2012	1478.95	2	
THS	TR631	2013	1493.38	2	
THS	TR631	2014	1511.45	2	
THS	TR631	2015	1526.66	2	
THS	TR631	2016	1544.34	2	
THS	TR631	2017	1565.2	1	
THS	TR631	2018	1592.54	2	
THS	TR631	2019	1619.37	2	
THS	TR622	2004	1541.56	2	
THS	TR622	2005	1556.81	2	
THS	TR622	2006	1572.52	2	
THS	TR622	2007	1588.2	1	
THS	TR622	2008	1599.43	2	
THS	TR622	2009	1621.89	2	
THS	TR622	2010	1644.39	2	
THS	TR622	2011	1657.93	2	
THS	TR622	2012	1675.4	1	
THS	TR622	2013	1694.32	2	
THS	TR622	2014	1716.52	2	
THS	TR622	2015	1736.23	2	
THS	TR622	2016	1759.54	2	
THS	TR622	2017	1783.9	1	
THS	TR622	2018	1804.19	2	
THS	TR622	2019	1827.44	2	
THS	TR621	2004	1942.29	2	
THS	TR621	2005	1960.32	2	
THS	TR621	2006	1978.89	2	
THS	TR621	2007	1997.46	2	
THS	TR621	2008	2016.49	2	
THS	TR621	2009	2044.27	2	
THS	TR621	2010	2073.72	2	
THS	TR621	2011	2097.03	2	
THS	TR621	2012	2117.22	2	
THS	TR621	2013	2137.46	2	
THS	TR621	2014	2157.43	2	
THS	TR621	2015	2174.37	2	
THS	TR621	2016	2192.42	2	
THS	TR621	2017	2209.08	2	
THS	TR621	2018	2218.29	2	
THS	TR621	2019	2229.02	2	
THS	TR613	2004	248.75	2	
THS	TR613	2005	249.45	2	
THS	TR613	2006	250.18	2	
THS	TR613	2007	250.87	2	
THS	TR613	2008	249.31	2	
THS	TR613	2009	249.49	2	
THS	TR613	2010	255.21	2	
THS	TR613	2011	254.7	1	
THS	TR613	2012	252.43	2	
THS	TR613	2013	255.81	2	
THS	TR613	2014	257.08	2	
THS	TR613	2015	257.62	2	
THS	TR613	2016	259.87	2	
THS	TR613	2017	263.09	2	
THS	TR613	2018	267.35	2	
THS	TR613	2019	270.36	2	
THS	TR612	2004	419.55	2	
THS	TR612	2005	419.68	2	
THS	TR612	2006	419.83	2	
THS	TR612	2007	419.87	2	
THS	TR612	2008	413.66	2	
THS	TR612	2009	414.13	2	
THS	TR612	2010	434.55	2	
THS	TR612	2011	429.77	2	
THS	TR612	2012	413.95	2	
THS	TR612	2013	417.22	2	
THS	TR612	2014	418.28	2	
THS	TR612	2015	420.27	2	
THS	TR612	2016	424.55	2	
THS	TR612	2017	430.58	2	
THS	TR612	2018	437.62	2	
THS	TR612	2019	443.16	2	
THS	TR611	2004	1603.86	2	
THS	TR611	2005	1655.49	2	
THS	TR611	2006	1708.44	2	
THS	TR611	2007	1762.26	2	
THS	TR611	2008	1824.29	2	
THS	TR611	2009	1889.5	1	
THS	TR611	2010	1949.03	2	
THS	TR611	2011	2010.92	2	
THS	TR611	2012	2068.01	2	
THS	TR611	2013	2125.41	2	
THS	TR611	2014	2190.42	2	
THS	TR611	2015	2255.5	1	
THS	TR611	2016	2308.51	2	
THS	TR611	2017	2346.48	2	
THS	TR611	2018	2395.37	2	
THS	TR611	2019	2469.01	2	
THS	TR522	2004	220.22	2	
THS	TR522	2005	221.86	2	
THS	TR522	2006	223.55	2	
THS	TR522	2007	225.23	2	
THS	TR522	2008	228.1	1	
THS	TR522	2009	231.01	2	
THS	TR522	2010	232.25	2	
THS	TR522	2011	233.32	2	
THS	TR522	2012	234.72	2	
THS	TR522	2013	236.68	2	
THS	TR522	2014	239.15	2	
THS	TR522	2015	241.28	2	
THS	TR522	2016	243.9	1	
THS	TR522	2017	246.14	2	
THS	TR522	2018	249.29	2	
THS	TR522	2019	252.59	2	
THS	TR521	2004	1896.76	2	
THS	TR521	2005	1914.25	2	
THS	TR521	2006	1932.27	2	
THS	TR521	2007	1950.23	2	
THS	TR521	2008	1964.48	2	
THS	TR521	2009	1981.27	2	
THS	TR521	2010	2003.26	2	
THS	TR521	2011	2026.21	2	
THS	TR521	2012	2045.42	2	
THS	TR521	2013	2065.76	2	
THS	TR521	2014	2094.02	2	
THS	TR521	2015	2119.66	2	
THS	TR521	2016	2145.92	2	
THS	TR521	2017	2170.73	2	
THS	TR521	2018	2192.87	2	
THS	TR521	2019	2218.98	2	
THS	TR510	2004	4169.76	2	
THS	TR510	2005	4252.61	2	
THS	TR510	2006	4337.69	2	
THS	TR510	2007	4423.74	2	
THS	TR510	2008	4507.87	2	
THS	TR510	2009	4599.86	2	
THS	TR510	2010	4711.25	2	
THS	TR510	2011	4831.33	2	
THS	TR510	2012	4928.23	2	
THS	TR510	2013	5005.34	2	
THS	TR510	2014	5097.59	2	
