FREQ;REF_AREA;COUNTERPART_AREA;REF_SECTOR;COUNTERPART_SECTOR;ACCOUNTING_ENTRY;STO;ACTIVITY;VALUATION;PRICES;UNIT_MEASURE;TRANSFORMATION;TIME_PERIOD;OBS_VALUE;OBS_STATUS;CONF_STATUS;COMMENT_OBS;EMBARGO_DATE;PRE_BREAK_VALUE;COMMENT_DSET;REF_PERIOD_DETAIL;REPYEARSTART;REPYEAREND;TIME_FORMAT;TIME_PER_COLLECT;DECIMALS;TABLE_IDENTIFIER;TITLE;TITLE_COMPL;UNIT_MULT;LAST_UPDATE;COMPILING_ORG;COMMENT_TS;DATA_COMP;CURRENCY;DISS_ORG
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2000;405;A;F;careful;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2001;399;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2002;416;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2003;427;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2004;431;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2005;439;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2006;442;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2007;494;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2008;485;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2009;497;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2010;516;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2011;553;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2012;586;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2013;613;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2014;655;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2015;673;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2016;689;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2017;717;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2018;793;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;A;_Z;V;XDC;N;2019;814;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2000;25020;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2001;25458;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2002;25404;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2003;25777;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2004;25740;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2005;26476;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2006;27416;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2007;28955;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2008;30441;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2009;29648;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2010;29881;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2011;31485;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2012;33274;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2013;34097;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2014;34888;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2015;35528;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2016;36711;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2017;37619;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2018;39952;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;BTE;_Z;V;XDC;N;2019;41531;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2000;22449;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2001;22867;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2002;22802;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2003;23127;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2004;23031;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2005;23746;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2006;24651;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2007;26016;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2008;27322;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2009;26444;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
A;AT;W2;S1;S1;D;D1;C;_Z;V;XDC;N;2010;26669;A;F;;;;;C;;;P1Y;;0;T1002;;;6;2021-12-14T14:17:24;;;;;
